date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:11	10161/-1	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202020%2014:39:08%20GMT	http://localhost/contato/	/home/gian/websites/conscam/localhost/contato/index.html	(from http://localhost/)
11:39:13	1607/1607	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Sep%202020%2014:39:11%20GMT	http://localhost/wp-content/themes/conscam/js/navigation.js?ver=20141205	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/js/navigation66f2.js	(from http://localhost/)
11:39:15	1434/1434	---M--	200	added ('OK')	application/javascript	date:Mon,%2021%20Sep%202020%2014:39:13%20GMT	http://localhost/wp-includes/js/wp-embed.min.js?ver=5.5.1	/home/gian/websites/conscam/localhost/wp-includes/js/wp-embed.mind03b.js	(from http://localhost/)
11:39:20	97655/97655	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Sep%202020%2014:39:02%20GMT	http://localhost/wp-content/uploads/2020/09/Miniatura_Pleno.jpg	/home/gian/websites/conscam/localhost/wp-content/uploads/2020/09/Miniatura_Pleno.jpg	(from http://localhost/)
11:39:21	16912/-1	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202020%2014:39:15%20GMT	http://localhost/empreendimento/reverse/	/home/gian/websites/conscam/localhost/empreendimento/reverse/index.html	(from http://localhost/)
11:39:25	23856/-1	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202020%2014:39:20%20GMT	http://localhost/empreendimento/pleno/	/home/gian/websites/conscam/localhost/empreendimento/pleno/index.html	(from http://localhost/)
11:39:26	108186/108186	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Sep%202020%2014:39:07%20GMT	http://localhost/wp-content/uploads/2020/09/destaque.jpg	/home/gian/websites/conscam/localhost/wp-content/uploads/2020/09/destaque.jpg	(from http://localhost/)
11:39:27	1533/1533	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2014:39:26%20GMT	http://localhost/wp-content/themes/conscam/images/bgNavSlider.png	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/bgNavSlider.png	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
11:39:27	22979/-1	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202020%2014:39:21%20GMT	http://localhost/empreendimento/vivant/	/home/gian/websites/conscam/localhost/empreendimento/vivant/index.html	(from http://localhost/)
11:39:29	11072/-1	---M--	200	added ('OK')	text/html	date:Mon,%2021%20Sep%202020%2014:39:25%20GMT	http://localhost/trabalhe-conosco/	/home/gian/websites/conscam/localhost/trabalhe-conosco/index.html	(from http://localhost/)
11:39:29	1270/1270	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2014:39:27%20GMT	http://localhost/wp-content/themes/conscam/images/icoLupa.png	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/icoLupa.png	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
11:39:31	2574/2574	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2014:39:29%20GMT	http://localhost/wp-content/themes/conscam/images/bgItemEmpreendimento.png	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/bgItemEmpreendimento.png	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
11:39:31	2090/2090	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2014:39:30%20GMT	http://localhost/wp-content/themes/conscam/images/bgItemEmpreendimentoInterna.png	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/bgItemEmpreendimentoInterna.png	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
11:39:33	1103/1103	---M--	200	added ('OK')	image/gif	date:Mon,%2021%20Sep%202020%2014:39:31%20GMT	http://localhost/wp-content/themes/conscam/images/icoLI.gif	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/icoLI.gif	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
11:39:33	3413/3413	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2014:39:32%20GMT	http://localhost/wp-content/themes/conscam/images/botaoBaixePDF.png	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/botaoBaixePDF.png	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
11:39:35	4013/4013	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2014:39:33%20GMT	http://localhost/wp-content/themes/conscam/images/bgSaibaMaisTel.png	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/bgSaibaMaisTel.png	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
11:39:35	1356/1356	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Sep%202020%2014:39:34%20GMT	http://localhost/wp-content/themes/conscam/images/box_shadow_med.png	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/box_shadow_med.png	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
11:39:35	360/360	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Sep%202020%2014:39:35%20GMT	http://localhost/wp-content/themes/conscam/images/fundo_footer.jpg	/home/gian/websites/conscam/localhost/wp-content/themes/conscam/images/fundo_footer.jpg	(from http://localhost/wp-content/themes/conscam/style.css?ver=20190507)
